generation,N_shifts,logPrior,logLik,eventRate,acceptRate
33000,1,15.8008,-5.69895,0.141183,0.437
33100,0,7.7421,-5.07163,0.111962,0.53
33200,0,7.69574,-5.93614,0.158323,0.52
33300,0,7.20079,-4.88079,0.689562,0.54
33400,1,15.5804,-1.76448,0.539496,0.525
33500,0,6.60569,-0.779497,1.358,0.512
33600,0,6.9102,2.63532,1.10638,0.481667
33700,0,7.60624,1.33858,0.333223,0.462857
33800,0,7.64367,-2.44795,0.333223,0.46125
33900,0,6.58715,-0.0296396,1.3882,0.463333
34000,2,20.2602,-1.10365,0.801456,0.471111
34100,3,23.2344,-0.0348122,3.70047,0.5
34200,0,5.8905,-1.52391,0.783473,0.485
34300,0,6.57417,3.34664,0.236645,0.496667
34400,1,13.5341,1.01024,0.537036,0.4975
34500,0,5.51676,-3.79985,1.23259,0.48
34600,1,13.1053,-0.974765,1.23259,0.49
34700,2,20.3397,-0.773149,1.29517,0.481429
34800,2,20.6798,-0.57758,1.25878,0.485
34900,1,12.3571,4.38112,2.26398,0.484444
35000,1,15.9867,1.46827,0.223303,0.429769
35100,0,7.95936,1.11731,0.223303,0.41
35200,0,7.89416,4.43696,0.288501,0.39
35300,0,7.75426,5.36927,0.4009,0.35
35400,0,6.78825,1.51675,1.38641,0.3575
35500,1,13.2795,3.02775,1.19217,0.36
35600,1,13.4632,5.12297,1.00844,0.36
35700,0,6.97717,4.36618,1.18559,0.367143
35800,0,7.76185,4.2636,0.446123,0.37375
35900,0,7.63958,-0.719088,0.559415,0.377778
36000,2,19.7882,0.834691,0.801662,0.384
36100,2,21.1518,4.74714,1.76798,0.43
36200,2,19.9261,1.34072,1.6283,0.43
36300,0,7.37265,-0.453197,0.700686,0.423333
36400,1,14.0079,4.94956,1.36947,0.4375
36500,0,7.67981,4.91992,0.505701,0.434
36600,1,15.2433,3.71284,0.462001,0.435
36700,1,15.0104,2.0396,0.121985,0.431429
36800,0,7.94771,4.62103,0.206423,0.4225
36900,4,35.363,-1.45205,1.12208,0.427778
37000,1,12.8216,-3.71427,1.31175,0.462667
37100,0,6.52562,-8.24864,0.126356,0.56
37200,0,6.03958,-1.22467,0.490288,0.495
37300,0,6.59982,2.78317,0.200403,0.47
37400,0,6.38156,1.84967,0.200403,0.4775
37500,0,5.74551,4.76518,1.0838,0.464
37600,0,6.58349,3.26345,0.245825,0.445
37700,0,6.66721,5.79677,0.239069,0.435714
37800,1,14.2051,4.50234,0.36106,0.4225
37900,0,6.79235,3.49368,0.131462,0.421111
38000,0,5.12396,-4.34215,1.598,0.425
38100,0,6.66904,-2.69505,0.179214,0.46
38200,0,5.79036,0.558335,0.718798,0.49
