generation,N_shifts,logPrior,logLik,eventRate,acceptRate
37000,1,16.2155,54.9911,0.940902,0.3388
37100,1,16.3207,51.9088,0.835615,0.32
37200,1,16.6335,53.3942,0.519003,0.335
37300,1,16.041,52.3814,1.10547,0.326667
37400,3,29.9054,49.2421,1.10547,0.33
37500,3,25.6484,39.2993,4.21042,0.334
37600,3,29.6345,39.4796,1.87242,0.325
37700,3,29.6762,40.4093,0.861857,0.328571
37800,2,24.8406,39.7,0.861857,0.32625
37900,1,15.4397,40.0059,1.66323,0.332222
38000,1,16.654,32.8599,0.42115,0.323
38100,1,16.8018,35.337,0.238673,0.32
38200,2,23.7385,38.1994,1.1106,0.345
38300,2,24.6521,36.7774,1.1106,0.333333
38400,1,16.9189,39.7643,0.20962,0.3325
38500,1,16.1074,35.464,1.01005,0.318
38600,4,38.8985,26.243,2.4185,0.315
38700,2,24.4202,37.7902,0.782691,0.318571
38800,1,16.7766,33.5743,0.346177,0.3125
38900,1,14.9489,39.2215,2.13658,0.311111
39000,1,15.6613,41.0987,1.4242,0.309
39100,2,23.8326,28.0832,0.534838,0.42
39200,2,24.4169,30.5204,0.963408,0.375
39300,2,24.0338,22.8142,1.04632,0.356667
39400,1,15.6512,26.0711,1.53003,0.35
39500,2,23.958,33.4195,1.38545,0.35
39600,2,23.4678,29.3818,1.84614,0.363333
39700,2,23.2211,29.6335,1.84614,0.357143
39800,1,16.0748,26.6002,1.10715,0.34875
39900,2,24.7795,26.4881,1.10715,0.347778
