generation,N_shifts,logPrior,logLik,eventRate,acceptRate
22600,0,8.50035,35.5346,0.273948,0.22
22700,0,8.18302,35.5042,0.591283,0.202857
22800,0,8.57785,33.4611,0.196454,0.19875
22900,0,8.35479,32.5035,0.41951,0.196667
23000,3,30.4218,24.735,2.09059,0.255867
23100,3,30.4418,21.9652,2.09059,0.14
23200,4,36.8104,23.121,2.56528,0.17
23300,4,36.8104,20.0466,2.56528,0.163333
23400,4,36.8218,22.1152,2.56528,0.1575
23500,4,37.879,20.2895,1.50805,0.172
23600,3,29.7303,15.684,4.39985,0.18
23700,2,21.591,15.1126,2.25653,0.185714
23800,2,21.6169,16.2516,1.6953,0.19
23900,1,15.6116,18.4229,1.17164,0.191111
24000,2,22.0344,15.7751,2.20327,0.196
24100,2,20.1501,14.3582,3.1035,0.29
24200,1,15.1255,16.8034,1.66027,0.255
24300,2,22.6392,26.0384,0.598322,0.233333
24400,1,14.0384,24.1839,2.77754,0.2525
24500,1,15.5221,25.1047,1.25416,0.24
24600,1,15.3345,24.7147,1.43887,0.23
24700,1,16.2465,30.2153,0.52686,0.218571
24800,1,15.957,42.1253,0.8525,0.21625
24900,1,15.9528,46.1747,0.8525,0.206667
25000,2,22.9622,47.0128,2.68095,0.209
25100,2,23.0293,48.2008,2.59789,0.13
25200,3,31.2891,52.6715,2.59789,0.165
25300,3,31.4087,51.7459,2.59789,0.176667
25400,3,30.6732,47.9005,2.59789,0.1725
25500,2,24.1303,43.5619,0.594678,0.186
25600,1,15.7812,47.3244,0.139605,0.18
25700,1,15.5917,51.3201,0.329106,0.171429
25800,1,13.6558,51.6334,2.26498,0.1675
25900,1,14.9804,38.0779,0.940426,0.168889
26000,1,15.4447,32.9468,0.522892,0.163
26100,1,13.3102,41.7479,2.62824,0.15
26200,1,14.0988,45.7054,1.86042,0.165
26300,1,14.9341,43.3923,1.01113,0.19
26400,1,14.5314,43.492,1.41374,0.1875
26500,1,14.7988,42.2964,1.1385,0.184
26600,1,14.7498,42.3866,1.1385,0.176667
26700,1,15.1347,42.7891,0.747816,0.18
26800,1,15.0141,38.6706,0.747816,0.17125
